type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,42440,30220,12220,8390,5730,2660
Digestive system,289610,162730,126880,147260,84970,62290
Respiratory system,242550,130000,112550,163660,90280,73380
Bones & joints,3020,1680,1340,1460,830,630
Soft tissue,12020,6550,5470,4740,2550,2190
Skin,81220,46630,34590,12980,8840,4140
Breast,235030,2360,232670,40430,430,40000
Genital system,338450,243460,94990,58970,30180,28790
Urinary system,141610,97420,44190,30350,20610,9740
Eye & orbit,2730,1440,1290,310,130,180
Brain & other nervous system,23380,12820,10560,14320,8090,6230
Endocrine system,65630,16600,49030,2820,1300,1520
Lymphoma,79990,43340,36650,20170,11140,9030
Myeloma,24050,13500,10550,11090,6110,4980
Leukemia,52380,30100,22280,24090,14040,10050
