type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,45780,32670,13110,8650,6010,2640
Digestive system,291150,163050,128100,149300,86540,62760
Respiratory system,240390,130260,110130,162460,89750,72710
Bones & joints,2970,1640,1330,1490,850,640
Soft tissue,11930,6610,5320,4870,2600,2270
Skin,80100,46610,33490,13340,9120,4220
Breast,234190,2350,231840,40730,440,40290
Genital system,329330,231050,98280,58670,28230,30440
Urinary system,138710,96580,42130,30970,21110,9860
Eye & orbit,2580,1360,1220,270,140,130
Brain & other nervous system,22850,12900,9950,15320,8940,6380
Endocrine system,64860,16520,48340,2890,1350,1540
Lymphoma,80900,44950,35950,20940,12140,8800
Myeloma,26850,14090,12760,11240,6240,5000
Leukemia,54270,30900,23370,24450,14210,10240
