type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,54540,39290,15250,11580,8140,3440
Digestive system,348840,194980,153860,172010,99350,72660
Respiratory system,256290,131150,125140,132330,71170,61160
Bones & joints,3970,2160,1810,2140,1200,940
Soft tissue,13400,7400,6000,5140,2720,2420
Skin,104930,62810,42120,12470,8480,3990
Breast,300590,2800,297790,43700,530,43170
Genital system,414350,299540,114810,69660,35640,34020
Urinary system,168560,117590,50970,32590,22680,9910
Eye & orbit,3490,1900,1590,430,240,190
Brain & other nervous system,24810,14280,10530,18990,11020,7970
Endocrine system,47230,14340,32890,3240,1560,1680
Lymphoma,89380,49730,39650,21080,12320,8760
Myeloma,35730,19860,15870,12590,7000,5590
Leukemia,59610,35670,23940,23710,13900,9810
