type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,54000,38700,15300,11230,7870,3360
Digestive system,343040,193350,149690,171920,99940,71980
Respiratory system,254850,131450,123400,135360,72770,62590
Bones & joints,3910,2160,1750,2100,1180,920
Soft tissue,13190,7590,5600,5130,2740,2390
Skin,108480,62820,45660,11990,8060,3930
Breast,290560,2710,287850,43780,530,43250
Genital system,395600,280470,115130,68260,35430,32830
Urinary system,164190,114490,49700,31990,21680,10310
Eye & orbit,3360,1790,1570,410,220,190
Brain & other nervous system,25050,14170,10880,18280,10710,7570
Endocrine system,47050,13620,33430,3330,1650,1680
Lymphoma,89010,48690,40320,21170,12250,8920
Myeloma,34470,19100,15370,12640,7090,5550
Leukemia,60650,35810,24840,24000,14020,9980
