type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,51540,37160,14380,10030,7280,2750
Digestive system,319160,181960,137200,160820,94230,66590
Respiratory system,253290,136400,116890,158770,87200,71570
Bones & joints,3450,1940,1510,1590,930,660
Soft tissue,13040,7370,5670,5150,2770,2380
Skin,99550,60350,39200,13460,9070,4390
Breast,268670,2550,266120,41400,480,40920
Genital system,286390,176320,110070,62330,30210,32120
Urinary system,150350,107600,42750,33170,23110,10060
Eye & orbit,3540,2130,1410,350,190,160
Brain & other nervous system,23880,13720,10160,16830,9490,7340
Endocrine system,56430,14350,42080,3080,1490,1590
Lymphoma,83180,46570,36610,20960,12130,8830
Myeloma,30770,16400,14370,12770,6830,5940
Leukemia,60300,35030,25270,24370,14270,10100
