type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,53000,38140,14860,10860,7970,2890
Digestive system,328030,186080,141950,165460,97110,68350
Respiratory system,246440,130370,116070,147510,80380,67130
Bones & joints,3500,2030,1470,1660,960,700
Soft tissue,12750,7240,5510,5270,2840,2430
Skin,104350,62320,42030,11650,8030,3620
Breast,271270,2670,268600,42260,500,41760
Genital system,295290,186290,109000,65540,32440,33100
Urinary system,158220,108450,49770,33420,23290,10130
Eye & orbit,3360,1860,1500,370,200,170
Brain & other nervous system,23820,13410,10410,17760,9910,7850
Endocrine system,54740,15650,39090,3210,1560,1650
Lymphoma,82310,45660,36650,20970,12100,8870
Myeloma,32110,18130,13980,12960,6990,5970
Leukemia,61780,35920,25860,22840,13150,9690
