type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,34360,24180,10180,7550,5180,2370
Digestive system,271250,147390,123860,134710,74500,60210
Respiratory system,229400,127090,102310,164840,92910,71930
Bones & joints,2370,1330,1040,1330,740,590
Soft tissue,9220,5050,4170,3560,1840,1720
Skin,65050,37070,27980,10850,7140,3710
Breast,180510,2030,178480,40910,450,40460
Genital system,306380,228090,78290,55740,27720,28020
Urinary system,120400,82960,37440,27340,18100,9240
Eye & orbit,2340,1310,1030,220,110,110
Brain & other nervous system,20500,11170,9330,12740,7150,5590
Endocrine system,35520,9040,26480,2320,1030,1290
Lymphoma,71380,38670,32710,19730,10370,9360
Myeloma,19900,10960,8940,10790,5550,5240
Leukemia,44240,24800,19440,21790,12320,9470
