type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,53260,38380,14880,10750,7760,2990
Digestive system,333680,187620,146060,167790,97560,70230
Respiratory system,247270,130340,116930,140730,76370,64360
Bones & joints,3600,2120,1480,1720,1000,720
Soft tissue,13130,7470,5660,5350,2870,2480
Skin,108420,65350,43070,11480,8030,3450
Breast,279100,2620,276480,42690,520,42170
Genital system,317260,203740,113520,67830,34210,33620
Urinary system,159120,110230,48890,33820,23540,10280
Eye & orbit,3400,1890,1510,390,210,180
Brain & other nervous system,23890,13590,10300,18020,10190,7830
Endocrine system,55670,14160,41510,3260,1600,1660
Lymphoma,85720,47070,38650,20910,12030,8880
Myeloma,32270,17530,14740,12830,7190,5640
Leukemia,60530,35470,25060,23100,13420,9680
