type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,36540,25420,11120,7880,5430,2450
Digestive system,274330,148540,125790,139580,79010,60570
Respiratory system,240610,130600,110010,161670,89550,72120
Bones & joints,2650,1530,1120,1460,830,630
Soft tissue,10520,5680,4840,3920,2020,1900
Skin,74010,42610,31400,11790,7910,3880
Breast,209060,1970,207090,40230,390,39840
Genital system,311210,227460,83750,60420,32710,27710
Urinary system,131260,89620,41640,28550,19110,9440
Eye & orbit,2480,1240,1240,230,120,110
Brain & other nervous system,22020,11980,10040,13140,7420,5720
Endocrine system,46930,11890,35040,2570,1140,1430
Lymphoma,74030,40050,33980,21530,11450,10080
Myeloma,20180,11170,9010,10650,5760,4890
Leukemia,43050,24690,18360,21840,12660,9180
