type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,29370,19100,10270,7320,4910,2410
Digestive system,253500,134370,119130,136060,75020,61040
Respiratory system,184800,102420,82380,168140,93990,74150
Bones & joints,2570,1480,1090,1210,670,540
Soft tissue,9420,5530,3890,3490,1910,1580
Skin,66000,37580,28420,10590,6920,3670
Breast,212930,1690,211240,40870,460,40410
Genital system,321050,241570,79480,59920,31010,28910
Urinary system,101880,71090,30790,26590,17420,9170
Eye & orbit,2120,1090,1030,230,110,120
Brain & other nervous system,18500,10620,7880,12760,7280,5480
Endocrine system,27650,7550,20100,2370,1080,1290
Lymphoma,63740,33050,30690,20610,10930,9680
Myeloma,15980,8600,7380,11300,5660,5640
Leukemia,34810,19640,15170,22570,12540,10030
