type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,40250,28540,11710,7850,5440,2410
Digestive system,284680,156760,127920,142510,80560,61950
Respiratory system,244180,130270,113910,164770,91110,73660
Bones & joints,2890,1600,1290,1410,790,620
Soft tissue,11280,6110,5170,3900,2050,1850
Skin,81240,46890,34350,12190,8210,3980
Breast,229060,2190,226870,39920,410,39510
Genital system,340650,251900,88750,58360,28840,29520
Urinary system,141140,97610,43530,29330,19670,9660
Eye & orbit,2610,1310,1300,270,120,150
Brain & other nervous system,22910,12630,10280,13700,7720,5980
Endocrine system,58980,14600,44380,2700,1240,1460
Lymphoma,79190,43120,36070,20130,10990,9140
Myeloma,21700,12190,9510,10710,6020,4690
Leukemia,47150,26830,20320,23540,13500,10040
